                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80318,                0.56881,                0.82309,                 0.9312,                0.82378,                0.91228,                0.72134,                0.73194,                0.48422,                0.80617,             0.00082925,             0.00082925,             0.00082925
                     36,                0.80247,                0.57026,                0.82497,                0.95937,                0.84438,                0.95379,                0.74291,                0.68826,                0.44678,                0.80191,             0.00081688,             0.00081688,             0.00081688
                     37,                0.80682,                0.59614,                0.81989,                0.87598,                0.93921,                0.95305,                0.74142,                0.74246,                0.45452,                0.80596,              0.0008045,              0.0008045,              0.0008045
                     38,                0.83485,                0.59829,                0.81946,                0.96243,                0.86568,                0.92958,                 0.7307,                0.74586,                0.47787,                0.80329,             0.00079213,             0.00079213,             0.00079213
                     39,                0.79383,                0.56381,                0.81858,                0.91718,                0.88501,                 0.9467,                0.72678,                0.71699,                0.47315,                 0.8035,             0.00077975,             0.00077975,             0.00077975
                     40,                0.76895,                0.54584,                0.82065,                0.95521,                0.84652,                0.91587,                0.71297,                0.79326,                0.47899,                0.80843,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.7891,                0.55007,                0.81744,                0.97206,                0.81672,                0.93381,                0.71998,                0.76165,                0.48913,                0.80425,               0.000755,               0.000755,               0.000755
                     42,                0.77539,                0.54048,                0.81801,                0.95725,                0.83185,                 0.9191,                 0.7138,                0.79043,                0.47848,                0.80864,             0.00074263,             0.00074263,             0.00074263
                     43,                0.78446,                   0.53,                0.81563,                0.96796,                0.82471,                0.95709,                0.73562,                0.76696,                0.45191,                0.80622,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.7659,                0.52274,                0.81644,                0.96236,                 0.8289,                0.94419,                0.72325,                0.75017,                 0.4394,                 0.8037,             0.00071788,             0.00071788,             0.00071788
                     45,                0.77673,                0.52178,                0.81199,                0.93608,                 0.8819,                0.93311,                0.73549,                0.72227,                0.45167,                0.79988,              0.0007055,              0.0007055,              0.0007055
                     46,                0.75201,                0.51851,                0.80702,                0.93762,                0.86892,                0.90755,                0.71729,                0.72484,                0.47427,                0.79973,             0.00069313,             0.00069313,             0.00069313
                     47,                0.75098,                0.51023,                0.81348,                0.96088,                0.85381,                0.93268,                0.72607,                0.73337,                0.44929,                0.80264,             0.00068075,             0.00068075,             0.00068075
                     48,                0.74202,                0.51058,                0.81395,                 0.9329,                0.85645,                0.94443,                0.73075,                0.73138,                0.43934,                 0.8009,             0.00066838,             0.00066838,             0.00066838
                     49,                0.72957,                0.50475,                0.81047,                 0.9356,                0.84508,                0.92561,                0.73504,                   0.73,                0.43738,                0.80274,               0.000656,               0.000656,               0.000656
                     50,                0.71628,                0.48908,                0.81137,                0.96581,                 0.8303,                0.93737,                0.74544,                0.70414,                 0.4431,                 0.8022,             0.00064362,             0.00064362,             0.00064362
                     51,                0.74581,                0.51392,                0.81122,                 0.9044,                0.85873,                0.94042,                0.73951,                0.73216,                0.44731,                0.80503,             0.00063125,             0.00063125,             0.00063125
                     52,                0.74165,                0.49318,                0.81014,                0.95786,                0.87543,                0.92857,                0.72784,                0.77481,                0.45665,                0.80353,             0.00061887,             0.00061887,             0.00061887
                     53,                0.74923,                0.51655,                0.81278,                0.92079,                0.88616,                 0.9396,                0.74157,                0.71773,                0.43254,                0.80074,              0.0006065,              0.0006065,              0.0006065
                     54,                0.72539,                0.47951,                0.81616,                0.97368,                0.88976,                 0.9404,                0.73401,                0.69932,                 0.4294,                0.80162,             0.00059413,             0.00059413,             0.00059413
                     55,                0.72434,                 0.4876,                 0.8136,                0.96878,                0.90357,                0.94922,                0.74285,                0.68031,                0.42737,                0.79886,             0.00058175,             0.00058175,             0.00058175
                     56,                 0.7202,                 0.4911,                0.81203,                0.96909,                0.84155,                0.93243,                0.75002,                0.68969,                0.41524,                0.79834,             0.00056938,             0.00056938,             0.00056938
                     57,                0.71131,                0.47429,                0.80578,                0.96412,                0.82833,                0.94942,                0.74675,                0.68942,                0.44157,                0.79954,               0.000557,               0.000557,               0.000557
                     58,                0.71162,                 0.4782,                0.80553,                0.94569,                0.87413,                0.95341,                0.74693,                0.72331,                0.44652,                0.80216,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.7133,                0.46845,                0.81224,                0.94569,                0.85904,                0.94845,                0.76769,                0.68276,                0.44127,                0.79759,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.7275,                0.47843,                 0.8132,                0.95064,                0.91632,                 0.9619,                0.75463,                0.70851,                0.43751,                0.80343,             0.00051988,             0.00051988,             0.00051988
                     61,                0.70013,                0.46773,                0.80672,                0.94653,                0.88194,                0.94024,                0.73145,                0.70176,                0.43588,                0.80032,              0.0005075,              0.0005075,              0.0005075
                     62,                0.72777,                0.48293,                0.81006,                0.94995,                0.89725,                0.92799,                0.73664,                0.70701,                0.41689,                0.80094,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72089,                0.47158,                0.81468,                0.92188,                0.91137,                0.92935,                0.73372,                0.75661,                0.42847,                0.80272,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.7004,                0.46459,                0.80733,                0.97604,                 0.8772,                0.93323,                0.75332,                0.65876,                0.39973,                0.79714,             0.00047038,             0.00047038,             0.00047038
                     65,                0.70414,                0.45997,                0.80432,                0.95623,                0.89643,                0.95074,                0.75051,                0.65183,                0.40488,                0.79582,               0.000458,               0.000458,               0.000458
                     66,                0.71502,                0.46085,                0.80654,                0.96105,                0.88615,                0.95425,                0.75938,                0.65296,                0.40294,                0.79651,             0.00044563,             0.00044563,             0.00044563
                     67,                0.70317,                0.45094,                0.80521,                0.93137,                0.90514,                0.95577,                0.75843,                0.69537,                0.40623,                0.79549,             0.00043325,             0.00043325,             0.00043325
                     68,                0.72537,                 0.4724,                0.80301,                0.94619,                0.86632,                0.95362,                0.75154,                0.72812,                0.41047,                0.79871,             0.00042087,             0.00042087,             0.00042087
                     69,                 0.7039,                0.45577,                0.81371,                0.95948,                0.86613,                0.95519,                0.75539,                0.71272,                0.40661,                0.80004,              0.0004085,              0.0004085,              0.0004085
                     70,                0.70426,                0.44892,                0.80949,                 0.9492,                0.88243,                0.95612,                 0.7677,                0.66138,                0.41319,                0.79461,             0.00039613,             0.00039613,             0.00039613
                     71,                0.68599,                0.44778,                0.80726,                0.97452,                0.87164,                0.93517,                0.76341,                0.69998,                0.41606,                0.79824,             0.00038375,             0.00038375,             0.00038375
                     72,                0.69537,                0.45522,                0.80807,                 0.9723,                0.85619,                0.94691,                0.75517,                0.69195,                0.41931,                0.79731,             0.00037138,             0.00037138,             0.00037138
                     73,                0.68141,                0.44895,                0.80087,                0.96222,                0.87541,                0.93472,                0.74608,                0.67877,                0.41283,                0.79716,               0.000359,               0.000359,               0.000359
                     74,                0.67066,                0.44457,                0.80523,                0.96536,                0.88541,                0.94612,                0.75443,                0.67343,                0.40799,                0.79894,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68917,                0.44602,                0.80387,                0.96467,                0.87909,                 0.9458,                 0.7687,                0.63193,                0.38505,                0.79523,             0.00033425,             0.00033425,             0.00033425
                     76,                0.68399,                0.46064,                0.80169,                0.97549,                0.86967,                0.96793,                0.76025,                 0.7172,                0.41078,                0.80054,             0.00032188,             0.00032188,             0.00032188
                     77,                0.66898,                0.43536,                0.80283,                0.96859,                0.84766,                0.95946,                0.76332,                 0.6861,                 0.4045,                0.79717,              0.0003095,              0.0003095,              0.0003095
                     78,                0.68181,                0.44052,                0.79903,                 0.9359,                0.89704,                0.94595,                0.74698,                0.69085,                0.40913,                0.79767,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.6798,                0.42729,                0.80339,                0.94457,                0.88593,                0.94458,                0.76325,                0.66964,                 0.3916,                0.79473,             0.00028475,             0.00028475,             0.00028475
                     80,                0.66694,                0.42787,                0.79882,                0.95045,                0.86469,                0.95772,                0.75147,                 0.6918,                0.40504,                0.79731,             0.00027237,             0.00027237,             0.00027237
                     81,                0.66422,                0.42782,                0.80469,                0.97997,                0.87019,                0.96711,                0.76109,                0.69744,                0.39576,                0.79832,                0.00026,                0.00026,                0.00026
                     82,                0.65117,                0.42398,                0.80691,                0.93747,                0.88941,                0.95353,                0.76165,                0.69585,                0.40964,                0.79791,             0.00024762,             0.00024762,             0.00024762
                     83,                0.67996,                0.43382,                0.80345,                0.94775,                0.88106,                0.94348,                0.75323,                0.68221,                0.39722,                  0.797,             0.00023525,             0.00023525,             0.00023525
                     84,                0.68389,                0.44851,                0.80954,                0.93596,                0.89891,                0.94645,                0.76051,                0.65462,                0.39267,                0.79406,             0.00022288,             0.00022288,             0.00022288
                     85,                0.66469,                0.42199,                 0.8011,                0.98077,                0.86062,                0.93671,                0.76789,                0.65893,                0.39851,                0.79506,              0.0002105,              0.0002105,              0.0002105
                     86,                0.67822,                 0.4364,                0.80051,                0.97926,                0.86008,                0.95015,                0.75165,                0.69298,                0.40201,                0.79703,             0.00019813,             0.00019813,             0.00019813
                     87,                0.63933,                0.40773,                0.79953,                0.97367,                0.87066,                0.96367,                0.76713,                0.68756,                0.38822,                0.79759,             0.00018575,             0.00018575,             0.00018575
                     88,                0.66038,                 0.4268,                0.80427,                0.96062,                0.88815,                0.95903,                0.76173,                0.67546,                0.39414,                0.79703,             0.00017338,             0.00017338,             0.00017338
                     89,                0.64798,                0.42518,                0.79522,                0.95948,                0.88366,                0.94234,                0.75215,                0.67608,                0.39906,                0.79704,               0.000161,               0.000161,               0.000161
                     90,                0.67942,                0.42984,                0.80417,                0.95543,                0.87262,                0.92777,                0.76356,                 0.6252,                 0.4128,                0.79061,             0.00014862,             0.00014862,             0.00014862
                     91,                0.62479,                0.40661,                 0.7855,                0.96048,                0.87088,                0.93695,                0.77152,                0.58445,                0.38201,                0.78757,             0.00013625,             0.00013625,             0.00013625
                     92,                0.63687,                0.40199,                0.80545,                0.93996,                0.88132,                0.93509,                0.76742,                 0.5886,                0.37861,                  0.789,             0.00012387,             0.00012387,             0.00012387
                     93,                0.63137,                0.40276,                0.79721,                 0.9526,                0.87886,                0.94094,                 0.7654,                0.58627,                0.37726,                0.78856,              0.0001115,              0.0001115,              0.0001115
                     94,                0.61183,                0.38373,                0.79798,                0.96051,                0.89213,                0.94103,                0.77042,                0.57974,                0.37176,                0.78891,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.61837,                0.38708,                 0.8009,                0.95936,                0.88183,                0.94428,                0.77034,                0.58572,                0.36551,                0.78958,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.61115,                0.39763,                0.78857,                0.97304,                0.87796,                0.94863,                0.78209,                 0.5844,                0.36639,                0.79056,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.60926,                0.39268,                0.79479,                0.97375,                0.87043,                0.94516,                0.77746,                0.58476,                0.37495,                0.78986,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.59512,                0.38123,                0.79209,                0.96321,                0.87939,                0.94233,                0.78192,                0.57497,                0.37609,                0.78831,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.59136,                0.37896,                0.79427,                0.95754,                0.87549,                0.94604,                0.77939,                 0.5791,                 0.3696,                0.78885,              3.725e-05,              3.725e-05,              3.725e-05
